abstract,web_url,snippet,lead_paragraph,print_page,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,byline,type_of_material,_id,word_count,uri
"The crowning triumph of American genius may perhaps be found in the amended temper of the English press, since they have been forced to admit our supremacy in mechanical skill, whether tried on land, in the lists of Hyde Park, or on water with the Baltic and the America.Their admissions, unquestionably, flow with the viscidity of the ""Thames neath London Bridge:""  ",https://www.nytimes.com/1851/09/18/archives/britains-verdict.html,,,2,The New York Times,[],"{'main': ""Britain's Verdict."", 'kicker': '1', 'content_kicker': None, 'print_headline': ""Britain's Verdict."", 'name': None, 'seo': None, 'sub': None}",[],1851-09-18T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/26052e09-a7eb-5fb1-9f10-3244d9c37f6e,0,nyt://article/26052e09-a7eb-5fb1-9f10-3244d9c37f6e
"To-day was designated for the admission of the members of the Society and its guests to the Fair grounds. Crowds poured in that direction from an early hour, and the constantly arriving multitudes increased the throngs in the street. The day has been very clear and bright, and the temperature moderate. More than 8,000 tickets, each admitting a family, have been sold--a larger number than at any previous Fair.  ",https://www.nytimes.com/1851/09/18/archives/newyork-state-fair.html,,,4,The New York Times,[],"{'main': 'New-York State Fair.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'New-York State Fair.', 'name': None, 'seo': None, 'sub': None}",[],1851-09-18T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/26438839-e135-5a1a-8f26-a2caca07cf41,0,nyt://article/26438839-e135-5a1a-8f26-a2caca07cf41
,https://www.nytimes.com/1851/09/18/archives/died.html,,,4,The New York Times,[],"{'main': 'DIED.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'DIED.', 'name': None, 'seo': None, 'sub': None}",[],1851-09-18T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/26b47208-d242-5d9f-b252-1f41e01b8fdf,0,nyt://article/26b47208-d242-5d9f-b252-1f41e01b8fdf
,https://www.nytimes.com/1851/09/18/archives/maryland-whig-convention.html,,,4,The New York Times,[],"{'main': 'Maryland Whig Convention.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Maryland Whig Convention.', 'name': None, 'seo': None, 'sub': None}",[],1851-09-18T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/2c1d478a-1542-5310-bd3b-815275bf33f6,0,nyt://article/2c1d478a-1542-5310-bd3b-815275bf33f6
"The Negro Riot at Lancaster will prove, after all, to be a negro riot, involving neither the prompting nor participation of the Whites. Of courts, there are peace-loving prints quite willing to make the latter share all the criminality of the tragedy, probably in order to soothe the apprehensions of Union-loving people everywhere; but there is a B??d lack of evidence to go upon.  ",https://www.nytimes.com/1851/09/18/archives/article-8-no-title.html,,,2,The New York Times,[],"{'main': 'Article 8 -- No Title', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Article 8 -- No Title', 'name': None, 'seo': None, 'sub': None}",[],1851-09-18T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/2e0f11eb-05b8-5259-9530-d8fba0e3329b,0,nyt://article/2e0f11eb-05b8-5259-9530-d8fba0e3329b
"The Washington Republic of yesterday contaihs a letter from the Secretary of the Treasury to Gen. JAMES HAMILTON, conveying an important decision by the President in relation to the Ten Millions of Texan Stock. This decision settles two material points: first, that only five millions can be issued until the releases provided by the act are filed;  ",https://www.nytimes.com/1851/09/18/archives/texan-stockdecision-of-the-president.html,,,3,The New York Times,[],"{'main': 'Texan Stock-Decision of the President.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Texan Stock-Decision of the President.', 'name': None, 'seo': None, 'sub': None}",[],1851-09-18T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/33ec960c-fce5-5d40-b6a3-ed4aee0035bd,0,nyt://article/33ec960c-fce5-5d40-b6a3-ed4aee0035bd
Obituary,https://www.nytimes.com/1851/09/18/archives/recent-deaths.html,Obituary,,2,The New York Times,[],"{'main': 'Recent Deaths.', 'kicker': None, 'content_kicker': None, 'print_headline': 'Recent Deaths.', 'name': None, 'seo': None, 'sub': None}",[],1851-09-18T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/354051d6-a42e-5d69-8bec-db03f18b039f,0,nyt://article/354051d6-a42e-5d69-8bec-db03f18b039f
"FROM SMYRNA.--Capt. HUTCHINSON, of the bark cornelia, which arrived at this port yesterday, from smyrns, informs us that, previously to the departure of the Cornelia from Smyrns, bands of robbers had infested the villages in the vicinity, waylaying and seizing merchandise, and other kinds of property.  ",https://www.nytimes.com/1851/09/19/archives/article-5-no-title.html,,,2,The New York Times,[],"{'main': 'Article 5 -- No Title', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Article 5 -- No Title', 'name': None, 'seo': None, 'sub': None}",[],1851-09-19T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/372be342-e751-5527-8fac-6963d450c9ac,0,nyt://article/372be342-e751-5527-8fac-6963d450c9ac
London to Calcutta,https://www.nytimes.com/1851/09/19/archives/items-of-foreign-news.html,London to Calcutta,,3,The New York Times,[],"{'main': 'Items of Foreign News.', 'kicker': None, 'content_kicker': None, 'print_headline': 'Items of Foreign News.', 'name': None, 'seo': None, 'sub': None}",[],1851-09-19T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/3cafdac8-3ce7-5973-807e-efee9a17108b,0,nyt://article/3cafdac8-3ce7-5973-807e-efee9a17108b
On Philad trade,https://www.nytimes.com/1851/09/19/archives/article-8-no-title.html,On Philad trade,,2,The New York Times,[],"{'main': 'Article 8 -- No Title', 'kicker': None, 'content_kicker': None, 'print_headline': 'Article 8 -- No Title', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Philadelphia', 'rank': 1, 'major': 'N'}]",1851-09-19T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/3da84401-1972-5eae-ae4a-3c79e78a0872,0,nyt://article/3da84401-1972-5eae-ae4a-3c79e78a0872
"Some six years since, I wrote for a Boston newspaper -- The Atlas -- a series of articles which had the good fortune to become what is termed ""popular"". After appearing in the columns of the journal referred to, they were published in a completed forth, and the volume ran through many editions. The sketches were reprinted in England, and proved equally successful. I have considered,...  ",https://www.nytimes.com/1851/09/19/archives/limnings-of-literary-people-with-some-pencillings-of-painters-and.html,,,1,The New York Times,[],"{'main': 'LIMNINGS OF LITERARY PEOPLE WITH SOME ""PENCILLINGS"" OF PAINTERS AND PLAYERS.; No. 1.-- RECOLLECTIONS OF JOANNA BAILLIE AND HARRIET LEE. By the Author of ""Pen and Ink Sketches of Poets, Preachers and Politicians."" MRS. HARRIET LEE.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'LIMNINGS OF LITERARY PEOPLE WITH SOME ""PENCILLINGS"" OF PAINTERS AND PLAYERS.; No. 1.-- RECOLLECTIONS OF JOANNA BAILLIE AND HARRIET LEE. By the Author of ""Pen and Ink Sketches of Poets, Preachers and Politicians."" MRS. HARRIET LEE.', 'name': None, 'seo': None, 'sub': None}",[],1851-09-19T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/420470d9-49e8-5ad9-882e-184f80cab4c0,0,nyt://article/420470d9-49e8-5ad9-882e-184f80cab4c0
,https://www.nytimes.com/1851/09/18/archives/article-3-no-title.html,,,2,The New York Times,[],"{'main': 'Article 3 -- No Title', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Article 3 -- No Title', 'name': None, 'seo': None, 'sub': None}",[],1851-09-18T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/4631d2d3-85eb-55ac-b4dd-67130cf474e1,0,nyt://article/4631d2d3-85eb-55ac-b4dd-67130cf474e1
"This has been the great day of the Fair. Before this morning, thousands were on their way to the ground, and during the day the throng increased till every avenue was checked and cloud, of dust over-shadowed and covered everything. It seemed as if all the adjoining country had ?? out its entire population to swell the numbers which came from a distance.  ",https://www.nytimes.com/1851/09/19/archives/the-state-fairincidents.html,,,2,The New York Times,[],"{'main': 'The State Fair--Incidents.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'The State Fair--Incidents.', 'name': None, 'seo': None, 'sub': None}",[],1851-09-19T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/4704f41e-cd5f-54a6-a829-fa8bd58e34f8,0,nyt://article/4704f41e-cd5f-54a6-a829-fa8bd58e34f8
,https://www.nytimes.com/1851/09/18/archives/article-10-no-title.html,,,2,The New York Times,[],"{'main': 'Article 10 -- No Title', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Article 10 -- No Title', 'name': None, 'seo': None, 'sub': None}",[],1851-09-18T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/47b95f82-25b3-55d3-8b40-dc96997cacd5,0,nyt://article/47b95f82-25b3-55d3-8b40-dc96997cacd5
Flogging in School advocated,https://www.nytimes.com/1851/09/19/archives/article-1-no-title.html,Flogging in School advocated,,2,The New York Times,[],"{'main': 'Article 1 -- No Title', 'kicker': None, 'content_kicker': None, 'print_headline': 'Article 1 -- No Title', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Education', 'rank': 1, 'major': 'N'}]",1851-09-19T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/48008346-20b4-57dc-99a5-b08bb59f4726,0,nyt://article/48008346-20b4-57dc-99a5-b08bb59f4726
"The Steamship Europa brings $50,000 specie, consigned to order. The Hon. DANIEL WEBSTER to in the city and is expected to be present with the President and Cabinet, at the State House, this afternoon, on the reception of the President by Governor BOUTWELL, The President and escort reached the city lino, at Roxbury, about noon.  ",https://www.nytimes.com/1851/09/18/archives/from-bosotonspecie-arrived-by-the-europamovements-of-the.html,,,4,The New York Times,[],"{'main': 'From Bosoton--Specie arrived by the Europa-Movements of the President--lion. Daniel Webster &c.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'From Bosoton--Specie arrived by the Europa-Movements of the President--lion. Daniel Webster &c.', 'name': None, 'seo': None, 'sub': None}",[],1851-09-18T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/4d020145-86a4-56c1-8b4e-6e3ea3c47fc3,0,nyt://article/4d020145-86a4-56c1-8b4e-6e3ea3c47fc3
,https://www.nytimes.com/1851/09/19/archives/fire-at-the-dennison-house-cincinnati.html,,,2,The New York Times,[],"{'main': 'Fire at the Dennison House, Cincinnati.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Fire at the Dennison House, Cincinnati.', 'name': None, 'seo': None, 'sub': None}",[],1851-09-19T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/4d414809-35e3-59ca-ac9f-8f8618f6881c,0,nyt://article/4d414809-35e3-59ca-ac9f-8f8618f6881c
"HURRICANE AT ST. JOHN'S, PORTO RICO.-- We learn from Capt. Bibber, of the achr. Hope, which arrived at this port yesterday morning from Porto Rico, that St. John's, was visited by a severe hurricane on the 10th of August.  ",https://www.nytimes.com/1851/09/18/archives/article-13-no-title.html,,,3,The New York Times,[],"{'main': 'Article 13 -- No Title', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Article 13 -- No Title', 'name': None, 'seo': None, 'sub': None}",[],1851-09-18T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/5010cf53-fcb2-55ed-8dd5-ec840f9ac9af,0,nyt://article/5010cf53-fcb2-55ed-8dd5-ec840f9ac9af
,https://www.nytimes.com/1851/09/19/archives/marine-intelligence-miniature-almanacthis-day-port-of-newyork.html,,,4,The New York Times,[],"{'main': 'MARINE INTELLIGENCE.; MINIATURE ALMANAC...THIS DAY. PORT OF NEW-YORK. Cleared. Arrived. By Telegraph. Disasters, & c. Launches. Spoken, &c. Foreign Ports. Domestic Ports.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'MARINE INTELLIGENCE.; MINIATURE ALMANAC...THIS DAY. PORT OF NEW-YORK. Cleared. Arrived. By Telegraph. Disasters, & c. Launches. Spoken, &c. Foreign Ports. Domestic Ports.', 'name': None, 'seo': None, 'sub': None}",[],1851-09-19T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/50ec484a-2305-5f95-bbd9-2c6f4264d68a,0,nyt://article/50ec484a-2305-5f95-bbd9-2c6f4264d68a
"Another Mexican Foray is currently talked of at New-Orleans, and rumor is so far explicit as to indicate Tamaulipas, Leon and Coahuila, as the Provinces to be dismembered; and that forces for the expedition are rallying in that city and at sever al points in Texas.  ",https://www.nytimes.com/1851/09/18/archives/article-4-no-title.html,,,2,The New York Times,[],"{'main': 'Article 4 -- No Title', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Article 4 -- No Title', 'name': None, 'seo': None, 'sub': None}",[],1851-09-18T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/53b06f37-be21-5c94-b5d7-89ded271294e,0,nyt://article/53b06f37-be21-5c94-b5d7-89ded271294e
appears before Crim court at Washington to answer charge of fraud,https://www.nytimes.com/1851/09/19/archives/the-alleged-mexican-fraudcase-of-dr-gardner.html,appears before Crim court at Washington to answer charge of fraud,,4,The New York Times,[],"{'main': 'The Alleged Mexican Fraud--Case of Dr. Gardner.', 'kicker': None, 'content_kicker': None, 'print_headline': 'The Alleged Mexican Fraud--Case of Dr. Gardner.', 'name': None, 'seo': None, 'sub': None}",[],1851-09-19T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/54fb0bc7-d96e-5193-86dd-0e8fbc6c44cd,0,nyt://article/54fb0bc7-d96e-5193-86dd-0e8fbc6c44cd
,https://www.nytimes.com/1851/09/18/archives/condemnation-of-the-lancaster-riot.html,,,4,The New York Times,[],"{'main': 'Condemnation of the Lancaster Riot.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Condemnation of the Lancaster Riot.', 'name': None, 'seo': None, 'sub': None}",[],1851-09-18T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/55630750-c165-5e79-9f95-8134999e245d,0,nyt://article/55630750-c165-5e79-9f95-8134999e245d
,https://www.nytimes.com/1851/09/19/archives/article-7-no-title.html,,,2,The New York Times,[],"{'main': 'Article 7 -- No Title', 'kicker': '1', 'content_kicker': None, 'print_headline': 'Article 7 -- No Title', 'name': None, 'seo': None, 'sub': None}",[],1851-09-19T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/571a00dd-ccd4-5944-8605-4fa00b01ea54,0,nyt://article/571a00dd-ccd4-5944-8605-4fa00b01ea54
Candidate for Presidency,https://www.nytimes.com/1851/09/18/archives/the-news-from-europe-arrival-of-the-europos-mails-affairs-in.html,Candidate for Presidency,,1,The New York Times,[],"{'main': 'THE NEWS FROM EUROPE.; ARRIVAL OF THE EUROPOS MAILS. AFFAIRS IN ENGLAND The Election in France--Arrests, &c. APPREHENDED DISTURBANCE IN AUSTRIA. SOUTHERN EUROPE. GREAT BRITAIN. The American and English Yachts. Kosauth and Austria. FRANCE AUSTRIA SPAIN TURKEY PORTUGAL BREMEN BAVARIA FRANKFORT PRUSSIA. LOMBARDY TUSCANY THE PAPAL STATES SWITZELAND ICELAND', 'kicker': None, 'content_kicker': None, 'print_headline': 'THE NEWS FROM EUROPE.; ARRIVAL OF THE EUROPOS MAILS. AFFAIRS IN ENGLAND The Election in France--Arrests, &c. APPREHENDED DISTURBANCE IN AUSTRIA. SOUTHERN EUROPE. GREAT BRITAIN. The American and English Yachts. Kosauth and Austria. FRANCE AUSTRIA SPAIN TURKEY PORTUGAL BREMEN BAVARIA FRANKFORT PRUSSIA. LOMBARDY TUSCANY THE PAPAL STATES SWITZELAND ICELAND', 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': 'KOSSUTH, LOUIS', 'rank': 1, 'major': 'N'}]",1851-09-18T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/58ed398f-1138-5533-af55-22efccca3787,0,nyt://article/58ed398f-1138-5533-af55-22efccca3787
"Wednesday evening, in accordance with previous announcement, the different Temperance Societies and Associations of this city met at the Brooklyn Institute, for the purpose of forming a more complete organization of the advocates of Temperance, and to concert a general plan of ""Union"", to drive more effectually from our midst the evils of intemperance.  ",https://www.nytimes.com/1851/09/19/archives/brooklyn-a-new-temperance-movement-lecture-on-temperance-sixth.html,,,1,The New York Times,[],"{'main': ""BROOKLYN.; A NEW TEMPERANCE MOVEMENT. LECTURE ON TEMPERANCE. SIXTH ANNIVESARY OF PEESEVERANCE TENT No. 118 I. O. OF RECHABITES. QUEEN'S COUNTY AGRICULTURAL FAIR. FLATBUSH WOODS ON FIRE. FAIR IN SUFFOLK COUNTY. LADY SUFFOLK. OFFICERS' PARADE. ACCIDENT. THE NEW HOSPITAL. ALMOST A FIRE. ATTEMPTED INCENDIARIEX. KINGS COUNTY-- BOARD OF SUPERVI?? THE CITY COURT. SUPREME COURT THE RECENT ATTEMPT AT SUICIDE. ACCIDENT. ACCIDENT TO A CHILD. FOUND DROWNED. FINED."", 'kicker': '1', 'content_kicker': None, 'print_headline': ""BROOKLYN.; A NEW TEMPERANCE MOVEMENT. LECTURE ON TEMPERANCE. SIXTH ANNIVESARY OF PEESEVERANCE TENT No. 118 I. O. OF RECHABITES. QUEEN'S COUNTY AGRICULTURAL FAIR. FLATBUSH WOODS ON FIRE. FAIR IN SUFFOLK COUNTY. LADY SUFFOLK. OFFICERS' PARADE. ACCIDENT. THE NEW HOSPITAL. ALMOST A FIRE. ATTEMPTED INCENDIARIEX. KINGS COUNTY-- BOARD OF SUPERVI?? THE CITY COURT. SUPREME COURT THE RECENT ATTEMPT AT SUICIDE. ACCIDENT. ACCIDENT TO A CHILD. FOUND DROWNED. FINED."", 'name': None, 'seo': None, 'sub': None}",[],1851-09-19T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/5908abef-2ce6-52c5-ae0d-6463725b05d3,0,nyt://article/5908abef-2ce6-52c5-ae0d-6463725b05d3
"Resistance to law is always an offence against the peace of society. No government can exist without punishing breaches of its law,-still loss without disarming opposition to it. And there is no country in the world, where obe. dience to law is more prompt and cheerful, thanin the United States.  ",https://www.nytimes.com/1851/09/19/archives/the-christiana-outrage.html,,,2,The New York Times,[],"{'main': 'The Christiana Outrage.', 'kicker': '1', 'content_kicker': None, 'print_headline': 'The Christiana Outrage.', 'name': None, 'seo': None, 'sub': None}",[],1851-09-19T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/5d1a0544-0e16-583c-addc-bb0e528ebbcf,0,nyt://article/5d1a0544-0e16-583c-addc-bb0e528ebbcf
,https://www.nytimes.com/1851/09/18/archives/brooklyn-preparing-for-muster-officers-drills-long-island.html,,,1,The New York Times,[],"{'main': ""BROOKLYN; PREPARING FOR MUSTER -- OFFICERS' DRILLS. LONG ISLAND VEGETABLES."", 'kicker': '1', 'content_kicker': None, 'print_headline': ""BROOKLYN; PREPARING FOR MUSTER -- OFFICERS' DRILLS. LONG ISLAND VEGETABLES."", 'name': None, 'seo': None, 'sub': None}",[],1851-09-18T05:00:00+0000,article,None,Archives,"{'original': None, 'person': [], 'organization': None}",Archives,nyt://article/633da0c3-b95d-5985-9837-14e9fffe079b,0,nyt://article/633da0c3-b95d-5985-9837-14e9fffe079b
